"Filename","LOF_All_Vars","LOF_DOBIN","LOF_PCA","KNN_All_Vars","KNN_DOBIN","KNN_PCA","IFOREST_All_Vars","IFOREST_DOBIN","IFOREST_PCA"
"thyroid_sick_C1_P05_V10_CA0",0.688952303302079,0.661231145536078,0.609865470852018,0.670607419486343,0.710150835711374,0.58683245006115,0.652262535670607,0.602935181410518,0.671015083571137
"thyroid_sick_C2_P02_V01_CA0",0.561586911353574,0.492863902879459,0.56985978004286,0.551287978504683,0.518536447398479,0.563849576294233,0.510731341172887,0.539362755229693,0.5052052171832
"thyroid_sick_C2_P02_V02_CA0",0.5698380236492,0.533319916890576,0.576925168884006,0.554021125458244,0.54184842320537,0.564866687697847,0.540570235077834,0.532221219010737,0.584300586334809
"thyroid_sick_C2_P02_V03_CA0",0.558089571072699,0.52798960044383,0.565579209590218,0.545133638648058,0.529256910374536,0.565399719342522,0.551105768707779,0.479769273445234,0.489758177684467
"thyroid_sick_C2_P02_V04_CA0",0.568358588880307,0.546846954648797,0.573057969910908,0.557371610081913,0.545468143200583,0.563218640878088,0.599143885909472,0.547399023137925,0.571480631370544
"thyroid_sick_C2_P02_V05_CA0",0.563104419811372,0.52851719299009,0.565976263774517,0.552601520771917,0.536273347329947,0.560819998477052,0.523790616467414,0.552394835032145,0.563137054401862
"thyroid_sick_C2_P02_V06_CA0",0.570311225211309,0.534211929030644,0.56579677352682,0.558345208698206,0.537714708409934,0.5579454349647,0.509964428296366,0.551219989774495,0.527369543224515
"thyroid_sick_C2_P02_V07_CA0",0.580509534739522,0.548342706712935,0.566057850250742,0.561896939963232,0.551540896580983,0.566661590174813,0.571224993745037,0.502045101004058,0.613203955312367
"thyroid_sick_C2_P02_V08_CA0",0.557948154513908,0.490780728186496,0.550137609189901,0.54598757709922,0.519368629455981,0.55035789267571,0.545753695867373,0.515017350723944,0.525191184309289
"thyroid_sick_C2_P02_V09_CA0",0.555674611376418,0.50809337844159,0.541864740500615,0.542724118050192,0.517785851817203,0.530469829321092,0.514729078507946,0.482241343674872,0.596859464575152
"thyroid_sick_C2_P02_V10_CA0",0.563278470960654,0.474545019417581,0.575315195753152,0.547537720147508,0.533265525906426,0.567417624854504,0.48139828342054,0.501011672305199,0.555946566297171
"thyroid_sick_C2_P05_V01_CA0",0.528579417644285,0.540481943801046,0.513667872778188,0.531191963708146,0.532273916690664,0.507098947052122,0.566484289249749,0.540625925972297,0.52262606786777
"thyroid_sick_C2_P05_V02_CA0",0.526484372717674,0.531173183424939,0.51427301523707,0.527818816174415,0.522189947957749,0.505492189488884,0.53768785499952,0.500651049817831,0.517108838001277
"thyroid_sick_C2_P05_V03_CA0",0.531365159653274,0.530582647852996,0.515088914207493,0.530944689979258,0.524283949535292,0.514911544866097,0.553002132605493,0.554646450735144,0.506406163271609
"thyroid_sick_C2_P05_V04_CA0",0.534034046566756,0.543426274868225,0.516182344029748,0.533880674253901,0.534910459783067,0.51048357142559,0.535252678277055,0.529973331997847,0.523199909854641
"thyroid_sick_C2_P05_V05_CA0",0.526795290739651,0.525539098462938,0.511875399081018,0.527471380935091,0.522426788195966,0.505549573687571,0.543374107414873,0.519850759349451,0.524986123457408
"thyroid_sick_C2_P05_V06_CA0",0.529706234636685,0.532656825798266,0.525574572331217,0.530101663933092,0.530786100921069,0.516356583323943,0.537794276604358,0.518509012449241,0.534998101104698
"thyroid_sick_C2_P05_V07_CA0",0.532711079949752,0.529581032748641,0.524819187606682,0.531134579509459,0.525071678080905,0.514918848309566,0.533658440902622,0.508966541882118,0.503145697437117
"thyroid_sick_C2_P05_V08_CA0",0.530012979262394,0.529332715670686,0.510114225855859,0.528195465187615,0.522000058427548,0.500814855621356,0.513553104380814,0.502343362004566,0.512282305217163
